timestamp,method,path,status,bytes,session_id
2026-08-29T04:12:01Z,GET,/,301,0,-
2026-08-29T04:12:01Z,GET,/index.html,200,2478,SESSION_1893746123
2026-08-29T04:12:04Z,GET,/static/style.css,200,4981,SESSION_1893746123
2026-08-29T04:12:04Z,GET,/favicon.ico,200,5430,SESSION_1893746123
2026-08-29T04:12:19Z,GET,/blog/,200,3410,SESSION_1893746123
2026-08-29T04:12:26Z,GET,/downloads/dvws-quickstart.txt,200,1189,SESSION_1893746123
2026-08-29T04:13:02Z,GET,/wp-admin,404,512,-
2026-08-29T04:13:44Z,GET,/.env,404,512,-
2026-08-29T04:14:07Z,GET,/logs?filter=404,200,1044,-
2026-08-29T04:15:33Z,GET,/status,200,411,-
2026-08-29T04:16:48Z,GET,/admin/,401,401,-
2026-08-29T04:16:52Z,GET,/admin/,200,2264,-
2026-08-29T04:17:30Z,POST,/admin/system_status,200,588,-
2026-08-29T04:19:11Z,GET,/nope,404,507,SESSION_2048172536
